;goiaba;spp_semelhantes;outras_especies
REG;0,2428;0,2287;0,2461
;0,2519;0,2162;0,256
;0,2396;0,2371;0,1984
;0,2299;0,2195;0,2368
;0,2268;0,2033;0,201
;0,234;0,216;0,2017
;0,2415;0,2171;0,1663
;0,2437;0,2364;0,2024
;0,2398;0,2124;0,1744
;0,2383;0,1949;0,2003
;0,2652;0,227;0,2038
;0,2305;0,1939;0,1605
;0,236;0,2079;0,1823
;0,2627;0,2998;0,2169
;0,2134;0,2873;0,1749
;0,2466;0,2789;0,154
;0,2504;0,2951;0,13
;0,2484;0,2804;0,1583
;0,2497;0,3057;0,2014
;0,248;0,3066;0,2092
;0,2419;0,3038;0,2062
;0,243;0,2742;0,2075
;0,2269;0,2971;0,2042
;0,2463;0,2654;0,1816
;0,2171;0,2935;0,1928
;0,2347;0,2762;0,1938
;0,2202;0,199;0,1715
;0,2358;0,2871;0,1839
;0,231;0,221;0,1964
;0,2306;0,2876;0,1794
;0,2446;0,27;0,2419
;0,2447;0,2032;0,1788
;0,2549;0,1782;0,1913
;0,2312;0,2006;0,1943
;0,2133;0,1784;0,1564
;0,2438;0,2891;0,1979
;0,2451;0,2468;0,1733
;0,2515;0,1955;0,1882
;0,2446;0,1886;0,1327
;0,2571;0,2053;0,1999
;0,2431;0,2136;0,1768
;0,235;0,1811;0,1793
;0,2372;0,1447;0,1771
;0,2607;0,198;0,1656
;0,2385;0,1852;0,1659
;0,2478;0,2066;0,2229
;0,2463;0,2643;0,1656
;0,2421;0,2007;0,1935
;0,2384;0,2551;0,1802
;0,2274;0,2746;0,1623
;0,234;0,1853;0,2092
;0,2465;0,272;0,2119
;0,2456;0,2537;0,1933
;0,2386;0,2573;0,1766
;0,2559;0,2506;0,1969
;0,2392;0,189;0,1672
;0,2523;0,2439;0,2198
;0,235;0,1949;0,193
;0,2458;0,2691;0,2225
;0,2507;0,2514;0,2265
;0,2444;0,2669;0,232
;0,26;0,2616;0,2343
;0,239;0,2397;0,1856
;0,2442;;
;0,2596;;
;0,2051;;
;0,2528;;
;0,2439;;
;0,25;;
;0,2507;;
;0,2543;;
;0,2481;;
;0,2356;;
;0,2334;;
;0,2587;;
;0,2373;;
;0,2401;;
;0,2295;;
;0,2611;;
;0,2332;;
;0,2376;;
;0,2495;;
;0,2522;;
;0,2502;;
;0,244;;
;0,2419;;
;0,263;;
;0,2298;;
;0,2206;;
;0,2494;;
;0,2549;;
;0,2415;;
;0,2467;;
;0,2516;;
;0,2452;;
;0,2303;;
;0,2227;;
;0,2112;;
;0,2313;;
;0,2496;;
;0,2425;;
;0,2655;;
;0,2504;;
;0,2516;;
;0,2246;;
;0,25;;
;0,2459;;
;0,2353;;
;0,2416;;
;0,2413;;
;0,2624;;
;0,2027;;
;0,2286;;
;0,2316;;
;0,23;;
;0,2224;;
;0,2136;;
;0,2199;;
;0,2178;;
;0,2252;;
;0,2082;;
;0,2155;;
;0,201;;
;0,2344;;
;0,2055;;
;0,2301;;
